id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
866744580227524824,Rental unit in Málaga · ★4.95 · 1 bedroom · 2 beds · 1 bath,92675932,Juan Manuel,,Centro,36.7195838,-4.4251116,Entire home/apt,83,3,19,2023-11-25,2.27,6,363,19,VFT/MA/40351
866832223202010753,casa particular in Málaga · ★5.0 · 1 bedroom · 2 beds · 1 bath,126713512,Ana Belen,,Bailen-Miraflores,36.735333603649686,-4.45170067301635,Entire home/apt,58,2,6,2023-10-13,0.78,1,96,6,VFT/MA/63550
867045360353672965,Rental unit in Málaga · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,76356690,Irene,,Este,36.7228102,-4.362576799999999,Private room,37,1,14,2023-10-01,1.62,2,65,14,Exempt
867253204580770384,Rental unit in Málaga · 1 bedroom · 1 bed · 1 bath,79418042,INMálaga,,Centro,36.7261696,-4.4203672,Entire home/apt,139,1,0,,,38,151,0,A/MA/01447
867335546804595961,Rental unit in Málaga · ★4.93 · 1 bedroom · 1 bed · 1 bath,50882465,Rafa,,Cruz De Humilladero,36.71665,-4.43909,Entire home/apt,65,2,15,2023-12-21,2.65,1,107,15,VFT/MA/63619
868095336458837335,Rental unit in Málaga · ★4.80 · Studio · 1 bed · 1 bath,60193326,Carlos,,Centro,36.7210797,-4.4248614,Entire home/apt,80,3,25,2023-12-29,2.88,1,129,25,VFT/MA/61152
868183626861061397,Rental unit in Málaga · ★5.0 · 3 bedrooms · 3 beds · 1 bath,217527993,Samanta,,Carretera de Cadiz,36.6972949748654,-4.44420800433807,Entire home/apt,76,3,4,2023-09-01,0.68,2,113,4,CTC-2019051954
868293921700187844,Rental unit in Málaga · ★4.67 · 2 bedrooms · 2 beds · 1 bath,487564007,Jacob,,Churriana,36.66514,-4.46493,Entire home/apt,129,3,9,2023-10-07,1.18,1,252,9,VFT/MA/62006
868560454829541608,Rental unit in Málaga · ★4.67 · 3 bedrooms · 3 beds · 1 bath,3264679,Emanuele,,Centro,36.7264407,-4.4289687,Entire home/apt,99,2,3,2023-08-22,0.55,1,86,3,VFT/MA/60284
868842415534350077,Rental unit in Málaga · ★4.90 · 1 bedroom · 2 beds · 1 bath,115528688,Javier,,Centro,36.7133361,-4.430154,Entire home/apt,81,1,21,2023-12-19,3.33,88,261,21,VFT/MA/22381
869518746230012709,Rental unit in Málaga · Studio · 1 bed · 1 bath,451597464,Coeo,,Centro,36.7207193,-4.420838499999999,Entire home/apt,214,1,2,2023-05-03,0.24,15,342,2,CTC-2023047104
871408722718784675,Rental unit in Málaga · ★4.57 · 1 bedroom · 1 bed · 1 bath,510421273,Iq Arreglos,,Centro,36.72536,-4.42,Entire home/apt,69,2,7,2023-11-29,0.83,1,152,7,VFT/MA/63268
871411882521065988,Rental unit in Málaga · ★4.27 · 1 bedroom · 1 bed · 1 bath,503238752,Ester Maria,,Centro,36.72422,-4.41549,Private room,37,3,11,2023-11-08,1.40,5,10,11,Exempt
871520993113298764,Rental unit in Málaga · ★5.0 · 3 bedrooms · 2 baths,54943010,Oliviero,,Centro,36.73265671464005,-4.41350815092621,Entire home/apt,151,2,4,2023-11-04,0.66,1,241,4,VFT/MA/49527
